"Species_name","Parvorder","Confidence","tips","column","value"
"Eubalaena australis","Mysticeti","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf3","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf1","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","diurnal/cathemeral"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","cathemeral/crepuscular"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","nocturnal"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","cathemeral/crepuscular"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3","nocturnal"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf4","cathemeral"
"Eubalaena glacialis","Mysticeti","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf4","cathemeral/crepuscular"
"Eubalaena japonica","Mysticeti","3,2, 2, 3","Eubalaena_japonica","Conf2","diurnal"
"Eubalaena japonica","Mysticeti","3,2, 2, 3","Eubalaena_japonica","Conf3","nocturnal"
"Eubalaena japonica","Mysticeti","3,2, 2, 3","Eubalaena_japonica","Conf3","nocturnal"
"Eubalaena japonica","Mysticeti","3,2, 2, 3","Eubalaena_japonica","Conf3","nocturnal/crepuscular"
"Feresa attenuata","Odontoceti","4,1,2","Feresa_attenuata","Conf1","nocturnal"
"Feresa attenuata","Odontoceti","4,1,2","Feresa_attenuata","Conf2","nocturnal"
"Feresa attenuata","Odontoceti","4,1,2","Feresa_attenuata","Conf4","nocturnal"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf3","nocturnal/crepuscular"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf3","nocturnal"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4","nocturnal"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4","nocturnal"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4","nocturnal"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4","nocturnal"
"Globicephala macrorhynchus","Odontoceti","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4","nocturnal"
"Globicephala melas","Odontoceti","4,4,3,2","Globicephala_melas","Conf2","unclear/crepuscular"
"Globicephala melas","Odontoceti","4,4,3,2","Globicephala_melas","Conf3","nocturnal"
"Globicephala melas","Odontoceti","4,4,3,2","Globicephala_melas","Conf4","nocturnal"
"Globicephala melas","Odontoceti","4,4,3,2","Globicephala_melas","Conf4","nocturnal"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf2","nocturnal"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf2","nocturnal"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3","nocturnal/crepuscular"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3","nocturnal"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3","nocturnal/crepuscular"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3","nocturnal"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf4","nocturnal/crepuscular"
"Grampus griseus","Odontoceti","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf4","nocturnal"
"Hyperoodon ampullatus","Odontoceti","3,3,4,4","Hyperoodon_ampullatus","Conf3","nocturnal"
"Hyperoodon ampullatus","Odontoceti","3,3,4,4","Hyperoodon_ampullatus","Conf3","cathemeral"
