"Species_name","Parvorder","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf1.5","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf2N.1","Conf2N.2","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf3.6","Conf3.7","Conf3.8","Conf3ByS.1","Conf3ByS.2","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf4.6","Conf4.7","Conf4.8","Conf5.1","Conf5.2","Conf5.3","Conf5.4","Confidence","tips"
"Lagenorhynchus cruciger","Odontoceti","nocturnal"," nocturnal"," diurnal",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1,0.5,1,1","Lagenorhynchus_cruciger"
"Lagenorhynchus obliquidens","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," cathemeral"," nocturnal",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"3,5,3,3,3","Lagenorhynchus_obliquidens"
"Lagenorhynchus obscurus","Odontoceti","nocturnal",NA,NA,NA,NA,"unclear/cathemeral"," unclear/diurnal/crepuscular"," unclear"," unclear",NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"cathemeral"," nocturnal/crepuscular"," nocturnal/crepuscular",NA,NA,NA,NA,NA,"",NA,NA,NA,"4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus"
"Lipotes vexillifer","Odontoceti","nocturnal",NA,NA,NA,NA,"unclear/diurnal",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal"," diurnal",NA,NA,"1,5,5,2","Lipotes_vexillifer"
"Lissodelphis borealis","Odontoceti","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Lissodelphis_borealis"
"Lissodelphis peronii","Odontoceti","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Lissodelphis_peronii"
"Megaptera novaeangliae","Mysticeti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral"," cathemeral"," nocturnal/cathemeral"," nocturnal"," cathemeral"," nocturnal","",NA,NA,NA,"4,4,4,3,4,4,4,4","Megaptera_novaeangliae"
"Mesoplodon bidens","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,4","Mesoplodon_bidens"
"Mesoplodon densirostris","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,NA,"",NA,NA,NA,"4,4,3,4,3,3","Mesoplodon_densirostris"
"Mesoplodon eueu","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0.5","Mesoplodon_eueu"
