"tips","max_crep","Diel_Pattern","Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","Orbit_ratio","Species_name","min_lat","max_lat","mean_lat"
"Capra_pyrenaica","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",60898.77,1200,2,NA,0.64,NA,NA,1,110472.5,39.02,42.03,36.01,2.38,-6.64,-2.13,NA,"Capra pyrenaica",36.381179307679,43.1618777718418,39.7715285397604
"Capra_sibirica","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",130000,NA,NA,NA,NA,NA,NA,NA,2802214.24,43.53,55.63,31.43,106.03,61.59,83.81,NA,"Capra sibirica",31.7476355929084,53.1721355926835,42.4598855927959
"Capra_walie","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",100144.02,NA,NA,1,NA,NA,1,NA,4294.5,13.35,13.63,13.07,38.75,37.94,38.34,NA,"Capra walie",13.1296355923088,13.4591355923338,13.2943855923213
"Capreolus_capreolus","crepuscular","cathemeral/crepuscular","Artiodactyla","Cervidae",22502.01,NA,NA,1,0.52,NA,1,NA,6777177.58,51.25,67.62,34.89,54.05,-8.46,22.79,NA,"Capreolus capreolus",31.8988355930001,68.6237355920001,50.2612855925001
"Capreolus_pygargus","crepuscular","nocturnal/crepuscular","Artiodactyla","Cervidae",41371.03,1320,NA,1,0.99,NA,1,NA,9816965.75,46.94,62.64,31.25,139.56,41.85,90.7,NA,"Capreolus pygargus",29.483235592,63.5705355920001,46.526885592
"Capricornis_crispus","cathemeral","cathemeral","Artiodactyla","Bovidae",43030.64,NA,NA,NA,0.11,NA,NA,NA,113318.46,36.75,41.54,31.96,142.07,130.84,136.45,NA,"Capricornis crispus",31.9693843849814,41.5462341310004,36.7578092579909
"Capricornis_milneedwardsii",NA,NA,"Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,2334828.77,21.61,35.55,7.68,122.13,93.18,107.66,NA,NA,NA,NA,NA
"Capricornis_rubidus","cathemeral","cathemeral","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,21552.31,26.69,27.94,25.43,98.56,97.49,98.02,NA,"Capricornis rubidus",21.5860355910356,28.2764355918281,24.9312355914319
"Capricornis_sumatraensis","cathemeral","cathemeral","Artiodactyla","Bovidae",110942.22,1449.99,2,NA,NA,NA,NA,1,237174.87,1.52,8.99,-5.94,104.72,95.18,99.95,0.924633731757058,"Capricornis sumatraensis",-5.94506399960386,36.5736359999015,15.3142860001488
"Capricornis_swinhoei","crepuscular","nocturnal/crepuscular","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,11915.86,23.57,25.01,22.13,121.72,120.56,121.14,NA,"Capricornis swinhoei",22.245435593,24.9962355930001,23.620835593
