"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Dive_duration","Body_length_m","Orbit_ratio","Diet","Brain_mass_g","Encephalization_quotient","Longevity_days","Sexual_maturity_days","Group_size","IUCN","Dive_depth_m","Mean_dive_depth_m","Body_mass_kg","Average_body_mass_kg","Habitat","Feeding_method","Divetype","Species_name","max_lat","mean_lat"
"Lagenorhynchus_albirostris","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,NA,NA,31.7281,"cephalopods + fish","1126",1.8,NA,NA,30,"least_concern",200,148.333333333333,350,341.666666666667,"coastal/pelagic","Raptorial","mid","Lagenorhynchus albirostris",79.9926395410001,60.2861948010001
"Lagenorhynchus_australis","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,NA,26.7818333333333,"cephalopods + fish",NA,NA,NA,NA,3.5,"least_concern",20,20,115,115,"coastal","Raptorial","shallow","Lagenorhynchus australis",-32.834366841,-46.7793826229999
"Lagenorhynchus_cruciger","Odontoceti","Delphinidae","nocturnal","nocturnal",1,NA,NA,25.851,"cephalopods + fish",NA,NA,NA,NA,5.6,"least_concern",200,200,94,93.0333333333333,"pelagic","Raptorial","mid","Lagenorhynchus cruciger",-32.476634695,-50.488948585
"Lagenorhynchus_obliquidens","Odontoceti","Delphinidae","cathemeral/crepuscular","crepuscular",5,6,2.5,28.33984,"cephalopods + fish","1140",4.54,"16,790",2737.5,90,"least_concern",214,209.333333333333,200,171.7625,"coastal/pelagic","Raptorial","mid","Lagenorhynchus obliquidens",61.5051497760001,41.407894716
"Lagenorhynchus_obscurus","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,NA,NA,28.8073333333333,"cephalopods + fish",NA,NA,"12,957.50",2555,35.5,"least_concern",200,185.333333333333,88.4215,86.1405,"coastal","Raptorial","mid","Lagenorhynchus obscurus",-8.21798721673662,-31.7543190524323
"Lipotes_vexillifer","Odontoceti","Lipotidae","diurnal","diurnal",5,NA,NA,12.6522,"fish","510",2.19,"8760",2190,3.5,"critically_endangered",NA,NA,230,159.666666666667,"riverine","Raptorial","shallow_low_conf","Lipotes vexillifer",32.267268465,30.3184032755
"Lissodelphis_borealis","Odontoceti","Delphinidae","nocturnal","nocturnal",1,6,3.1,29.9918,"cephalopods + fish",NA,NA,NA,3540.5,NA,"least_concern",250,250,115,109,"pelagic","Raptorial","mid","Lissodelphis borealis",51.272307971,40.7288089020001
"Lissodelphis_peronii","Odontoceti","Delphinidae","nocturnal","nocturnal",1,NA,NA,NA,"cephalopods + fish",NA,NA,NA,NA,56.6,"least_concern",NA,NA,179.975,139.9875,"pelagic","Raptorial",NA,"Lissodelphis peronii",-9.69136516599997,-36.1502671185
"Megaptera_novaeangliae","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,NA,NA,NA,"zooplankton + fish","6439",0.4,"9125",1642.5,4.7,"least_concern",616,616,40000,35025,"pelagic",NA,"deep","Megaptera novaeangliae",80.4418925489992,1.64625795899966
"Mesoplodon_bidens","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,NA,NA,34.414599481276,"cephalopods + fish",NA,NA,NA,NA,NA,"least_concern",1386,1386,1500,1400,"pelagic","Suction","verydeep","Mesoplodon bidens",71.6202297211784,49.0675582885647
