"Species_name","min_lat","max_lat","tips","mean_lat"
"Oreotragus oreotragus",-34.839764407,20.0004355930001,"Oreotragus_oreotragus",-7.41966440699994
"Oryx leucoryx",18.53511,31.1677800000001,"Oryx_leucoryx",24.851445
"Oryx beisa",-5.64786440799998,13.1225355920001,"Oryx_beisa",3.73733559200005
"Ourebia ourebi",-33.7352186369999,16.2892355930001,"Ourebia_ourebi",-8.72299152199994
"Pantholops hodgsonii",29.2491531810001,37.426111909,"Pantholops_hodgsonii",33.337632545
"Pelea capreolus",-34.839764407,-23.1231644069999,"Pelea_capreolus",-28.9814644069999
"Procapra przewalskii",36.3253765910001,37.4132661620001,"Procapra_przewalskii",36.8693213765001
"Raphicerus melanotis",-34.839764407,-30.152664407,"Raphicerus_melanotis",-32.496214407
"Raphicerus sharpei",-26.7981644069999,-3.36556440799995,"Raphicerus_sharpei",-15.0818644074999
"Raphicerus campestris",-34.839764407,0.841435593000028,"Raphicerus_campestris",-16.999164407
"Redunca arundinum",-31.0750644079999,-2.04556440799996,"Redunca_arundinum",-16.560314408
"Redunca fulvorufula",-33.914664407,9.99023559300002,"Redunca_fulvorufula",-11.962214407
"Redunca redunca",-11.409864408,16.273935593,"Redunca_redunca",2.43203559250003
"Sylvicapra grimmia",-34.839764407,15.8936355930001,"Sylvicapra_grimmia",-9.47306440699995
"Syncerus caffer",-34.839764407,13.4624355930001,"Syncerus_caffer",-10.6886644069999
"Tetracerus quadricornis",12.192835593,30.020135592,"Tetracerus_quadricornis",21.1064855925
"Damaliscus pygargus",-34.839764407,-24.402864407,"Damaliscus_pygargus",-29.621314407
"Tragelaphus derbianus",5.66139024600005,13.650235593,"Tragelaphus_derbianus",9.65581291950005
"Nanger soemmerringii",4.78613559300004,17.8664355930001,"Nanger_soemmerringii",11.3262855930001
"Camelus ferus",36.4640046962598,45.8055898389999,"Camelus_ferus",41.1347972676299
"Balaena mysticetus",49.7405856770001,83.897561405,"Balaena_mysticetus",66.8190735410001
"Balaenoptera acutorostrata",-75.8617416019999,84.084471933,"Balaenoptera_acutorostrata",4.11136516550004
"Balaenoptera edeni",-45.1973395089998,47.5874148408454,"Balaenoptera_edeni",1.19503766592281
"Balaenoptera physalus",-79.9610695109988,80.3088693089991,"Balaenoptera_physalus",0.173899899000162
"Balaenoptera bonaerensis",-85.4689,5.67140000000006,"Balaenoptera_bonaerensis",-39.8987499999999
"Berardius bairdii",21.98934225671,66.3916625156496,"Berardius_bairdii",44.1905023861798
"Caperea marginata",-61.2262773959999,-18.798907415,"Caperea_marginata",-40.0125924055
"Cephalorhynchus eutropia",-55.9977012649999,-33.092932827,"Cephalorhynchus_eutropia",-44.545317046
"Cephalorhynchus heavisidii",-34.27205658,-14.7037258149999,"Cephalorhynchus_heavisidii",-24.4878911974999
"Delphinapterus leucas",44.5127711540001,83.1683669780001,"Delphinapterus_leucas",63.8405690660001
"Eschrichtius robustus",19.9174804690001,72.398035593,"Eschrichtius_robustus",46.157758031
"Eubalaena australis",-68.631286621,-12.1810789109999,"Eubalaena_australis",-40.4061827659999
